position,billboard_name
1,resources/billboards/pet_store.bmp
2,resources/billboards/museum.bmp
3,resources/billboards/great_lakes.bmp
4,resources/billboards/caffeine_consumption.bmp
5,resources/billboards/travel_agency.bmp
6,resources/billboards/carpet_cleaning.bmp
7,resources/billboards/clothes_sale.bmp
8,resources/billboards/binge_drinking.bmp
9,resources/billboards/smoking_cessation.bmp
10,resources/billboards/vaccination.bmp
11,resources/billboards/burger.bmp
12,resources/billboards/pottery_class.bmp
13,resources/billboards/recycling.bmp
14,resources/billboards/jogging_physical_activity.bmp
15,resources/billboards/furniture.bmp
16,resources/billboards/mental_health.bmp
17,resources/billboards/pizza.bmp
18,resources/billboards/polar_bear.bmp
19,resources/billboards/smartphone.bmp
20,resources/billboards/hotel.bmp
21,resources/billboards/healthy_diet.bmp
22,resources/billboards/drug_abuse.bmp
23,resources/billboards/sun_skin_protection.bmp
24,resources/billboards/fundraising.bmp
25,resources/billboards/cosmetics.bmp
26,resources/billboards/employee_wellness.bmp
27,resources/billboards/buckle_up.bmp
28,resources/billboards/diabetes_awareness.bmp
29,resources/billboards/car_insurance.bmp
30,resources/billboards/moving_business.bmp
31,resources/billboards/healthy_sleep.bmp
32,resources/billboards/texting_driving.bmp
33,resources/billboards/regular_doctor_visits.bmp
34,resources/billboards/coffee.bmp
35,resources/billboards/movie_premiere.bmp
36,resources/billboards/grocery_store.bmp
37,resources/billboards/brunch.bmp
38,resources/billboards/lawyer.bmp
39,resources/billboards/handwashing.bmp
40,resources/billboards/HIV.bmp
