position,billboard_name
1,resources/billboards/healthy_sleep.bmp
2,resources/billboards/clothes_sale.bmp
3,resources/billboards/HIV.bmp
4,resources/billboards/pet_store.bmp
5,resources/billboards/vaccination.bmp
6,resources/billboards/coffee.bmp
7,resources/billboards/brunch.bmp
8,resources/billboards/regular_doctor_visits.bmp
9,resources/billboards/moving_business.bmp
10,resources/billboards/employee_wellness.bmp
11,resources/billboards/museum.bmp
12,resources/billboards/hotel.bmp
13,resources/billboards/drug_abuse.bmp
14,resources/billboards/mental_health.bmp
15,resources/billboards/great_lakes.bmp
16,resources/billboards/jogging_physical_activity.bmp
17,resources/billboards/diabetes_awareness.bmp
18,resources/billboards/lawyer.bmp
19,resources/billboards/sun_skin_protection.bmp
20,resources/billboards/burger.bmp
21,resources/billboards/carpet_cleaning.bmp
22,resources/billboards/healthy_diet.bmp
23,resources/billboards/furniture.bmp
24,resources/billboards/smartphone.bmp
25,resources/billboards/caffeine_consumption.bmp
26,resources/billboards/pizza.bmp
27,resources/billboards/travel_agency.bmp
28,resources/billboards/cosmetics.bmp
29,resources/billboards/grocery_store.bmp
30,resources/billboards/pottery_class.bmp
31,resources/billboards/polar_bear.bmp
32,resources/billboards/car_insurance.bmp
33,resources/billboards/movie_premiere.bmp
34,resources/billboards/fundraising.bmp
35,resources/billboards/binge_drinking.bmp
36,resources/billboards/texting_driving.bmp
37,resources/billboards/recycling.bmp
38,resources/billboards/smoking_cessation.bmp
39,resources/billboards/handwashing.bmp
40,resources/billboards/buckle_up.bmp
